Property_Title,Price,Area_SqFt,BHK,Bathrooms,Furnishing_Status,Property_Type,Seller_Type,Project_Name,Locality,Posted_Date,Floor_Number,Source_Website,Raw_JSON,URL,Description
"3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North",,2727.0,3,,,Apartment,Builder,,,,,99acres,"""Under Construction \u00b7 Completion in Dec, 2025\n1/4\nDivya Heights\nNEW BOOKING\n3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North\n3 BHK Apartment\n\u20b91.51 Cr\n\nDivya Heights society now offers elegantly built 3 BHK apartments in Vaishnodevi Circle. Apartments in Divya Heights have SUPER area ranging between 2,727 sqft. Prices of apartments in this project, vary between Rs. 1.51 Cr. This society is RERA approved and PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RN126AA10026/200722 i""",https://www.99acres.com/divya-heights-vaishnodevi-circle-ahmedabad-north-npxid-r396846,"Under Construction · Completion in Dec, 2025
1/4
Divya Heights
NEW BOOKING
3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North
3 BHK Apartment
₹1.51 Cr

Divya Heights society now offers elegantly b"
"3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North",,2727.0,3,,,Apartment,Builder,,,,,99acres,"""Under Construction \u00b7 Completion in Dec, 2025\n1/4\nDivya Heights\nNEW BOOKING\n3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North\n3 BHK Apartment\n\u20b91.51 Cr\n\nDivya Heights society now offers elegantly built 3 BHK apartments in Vaishnodevi Circle. Apartments in Divya Heights have SUPER area ranging between 2,727 sqft. Prices of apartments in this project, vary between Rs. 1.51 Cr. This society is RERA approved and PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RN126AA10026/200722 i""",https://www.99acres.com/divya-heights-vaishnodevi-circle-ahmedabad-north-npxid-r396846,"Under Construction · Completion in Dec, 2025
1/4
Divya Heights
NEW BOOKING
3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North
3 BHK Apartment
₹1.51 Cr

Divya Heights society now offers elegantly b"
"3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North",,2727.0,3,,,Apartment,,,,,,99acres,"""Under Construction \u00b7 Completion in Dec, 2025\n1/4\nDivya Heights\nNEW BOOKING\n3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North\n3 BHK Apartment\n\u20b91.51 Cr\n\nDivya Heights society now offers elegantly built 3 BHK apartments in Vaishnodevi Circle. Apartments in Divya Heights have SUPER area ranging between 2,727 sqft. Prices of apartments in this project, vary between Rs. 1.51 Cr. This society is RERA approved and PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RN126AA10026/200722 i""",https://www.99acres.com/divya-heights-vaishnodevi-circle-ahmedabad-north-npxid-r396846,"Under Construction · Completion in Dec, 2025
1/4
Divya Heights
NEW BOOKING
3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North
3 BHK Apartment
₹1.51 Cr

Divya Heights society now offers elegantly b"
"3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North",,2727.0,3,,,Apartment,,,,,,99acres,"""Divya Heights\nNEW BOOKING\n3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North\n3 BHK Apartment\n\u20b91.51 Cr\n\nDivya Heights society now offers elegantly built 3 BHK apartments in Vaishnodevi Circle. Apartments in Divya Heights have SUPER area ranging between 2,727 sqft. Prices of apartments in this project, vary between Rs. 1.51 Cr. This society is RERA approved and PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RN126AA10026/200722 is the RERA number""",https://www.99acres.com/divya-heights-vaishnodevi-circle-ahmedabad-north-npxid-r396846,"Divya Heights
NEW BOOKING
3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North
3 BHK Apartment
₹1.51 Cr

Divya Heights society now offers elegantly built 3 BHK apartments in Vaishnodevi Circle. Apar"
"3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North",,2727.0,3,,,Apartment,,,,,,99acres,"""Divya Heights\nNEW BOOKING\n3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North\n3 BHK Apartment\n\u20b91.51 Cr\n\nDivya Heights society now offers elegantly built 3 BHK apartments in Vaishnodevi Circle. Apartments in Divya Heights have SUPER area ranging between 2,727 sqft. Prices of apartments in this project, vary between Rs. 1.51 Cr. This society is RERA approved and PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RN126AA10026/200722 is the RERA number""",https://www.99acres.com/divya-heights-vaishnodevi-circle-ahmedabad-north-npxid-r396846,"Divya Heights
NEW BOOKING
3 BHK Apartment in Vaishnodevi Circle, Ahmedabad North
3 BHK Apartment
₹1.51 Cr

Divya Heights society now offers elegantly built 3 BHK apartments in Vaishnodevi Circle. Apar"
"3 BHK Apartment in Navrangpura, CG Road, Ahmedabad",,2320.0,3,,,Apartment,Builder,,,,,99acres,"""New Launch \u00b7 Completion in Mar, 2028\n1/5\nTerrace Skyline\nNEW BOOKING\n3 BHK Apartment in Navrangpura, CG Road, Ahmedabad\n3 BHK Apartment\n\u20b91.67 Cr\nNearby :\nCommerce Six Road Metro Station\nSardar Patel Stadium\n+3\n\nTerrace Skyline, one of the known housing societes in Ahmedabad West, brings classic yet modern 3 BHK apartments in Navrangpura. Prices of apartments in this project, vary between Rs. 1.67 Cr. This society is RERA approved and RAA15577/230725/300430 is the RERA number. Apartments in Terra""",https://www.99acres.com/terrace-skyline-navrangpura-ahmedabad-west-npxid-r449506,"New Launch · Completion in Mar, 2028
1/5
Terrace Skyline
NEW BOOKING
3 BHK Apartment in Navrangpura, CG Road, Ahmedabad
3 BHK Apartment
₹1.67 Cr
Nearby :
Commerce Six Road Metro Station
Sardar Patel S"
"3 BHK Apartment in Navrangpura, CG Road, Ahmedabad",,2320.0,3,,,Apartment,Builder,,,,,99acres,"""New Launch \u00b7 Completion in Mar, 2028\n1/5\nTerrace Skyline\nNEW BOOKING\n3 BHK Apartment in Navrangpura, CG Road, Ahmedabad\n3 BHK Apartment\n\u20b91.67 Cr\nNearby :\nCommerce Six Road Metro Station\nSardar Patel Stadium\n+3\n\nTerrace Skyline, one of the known housing societes in Ahmedabad West, brings classic yet modern 3 BHK apartments in Navrangpura. Prices of apartments in this project, vary between Rs. 1.67 Cr. This society is RERA approved and RAA15577/230725/300430 is the RERA number. Apartments in Terra""",https://www.99acres.com/terrace-skyline-navrangpura-ahmedabad-west-npxid-r449506,"New Launch · Completion in Mar, 2028
1/5
Terrace Skyline
NEW BOOKING
3 BHK Apartment in Navrangpura, CG Road, Ahmedabad
3 BHK Apartment
₹1.67 Cr
Nearby :
Commerce Six Road Metro Station
Sardar Patel S"
"3 BHK Apartment in Navrangpura, CG Road, Ahmedabad",,2320.0,3,,,Apartment,,,,,,99acres,"""New Launch \u00b7 Completion in Mar, 2028\n1/5\nTerrace Skyline\nNEW BOOKING\n3 BHK Apartment in Navrangpura, CG Road, Ahmedabad\n3 BHK Apartment\n\u20b91.67 Cr\nNearby :\nCommerce Six Road Metro Station\nSardar Patel Stadium\n+3\n\nTerrace Skyline, one of the known housing societes in Ahmedabad West, brings classic yet modern 3 BHK apartments in Navrangpura. Prices of apartments in this project, vary between Rs. 1.67 Cr. This society is RERA approved and RAA15577/230725/300430 is the RERA number. Apartments in Terra""",https://www.99acres.com/terrace-skyline-navrangpura-ahmedabad-west-npxid-r449506,"New Launch · Completion in Mar, 2028
1/5
Terrace Skyline
NEW BOOKING
3 BHK Apartment in Navrangpura, CG Road, Ahmedabad
3 BHK Apartment
₹1.67 Cr
Nearby :
Commerce Six Road Metro Station
Sardar Patel S"
"3 BHK Apartment in Navrangpura, CG Road, Ahmedabad",,2320.0,3,,,Apartment,,,,,,99acres,"""Terrace Skyline\nNEW BOOKING\n3 BHK Apartment in Navrangpura, CG Road, Ahmedabad\n3 BHK Apartment\n\u20b91.67 Cr\nNearby :\nCommerce Six Road Metro Station\nSardar Patel Stadium\n+3\n\nTerrace Skyline, one of the known housing societes in Ahmedabad West, brings classic yet modern 3 BHK apartments in Navrangpura. Prices of apartments in this project, vary between Rs. 1.67 Cr. This society is RERA approved and RAA15577/230725/300430 is the RERA number. Apartments in Terrace Skyline have SUPER area ranging betwee""",https://www.99acres.com/terrace-skyline-navrangpura-ahmedabad-west-npxid-r449506,"Terrace Skyline
NEW BOOKING
3 BHK Apartment in Navrangpura, CG Road, Ahmedabad
3 BHK Apartment
₹1.67 Cr
Nearby :
Commerce Six Road Metro Station
Sardar Patel Stadium
+3

Terrace Skyline, one of the kn"
"3 BHK Apartment in Navrangpura, CG Road, Ahmedabad",,2320.0,3,,,Apartment,,,,,,99acres,"""Terrace Skyline\nNEW BOOKING\n3 BHK Apartment in Navrangpura, CG Road, Ahmedabad\n3 BHK Apartment\n\u20b91.67 Cr\nNearby :\nCommerce Six Road Metro Station\nSardar Patel Stadium\n+3\n\nTerrace Skyline, one of the known housing societes in Ahmedabad West, brings classic yet modern 3 BHK apartments in Navrangpura. Prices of apartments in this project, vary between Rs. 1.67 Cr. This society is RERA approved and RAA15577/230725/300430 is the RERA number. Apartments in Terrace Skyline have SUPER area ranging betwee""",https://www.99acres.com/terrace-skyline-navrangpura-ahmedabad-west-npxid-r449506,"Terrace Skyline
NEW BOOKING
3 BHK Apartment in Navrangpura, CG Road, Ahmedabad
3 BHK Apartment
₹1.67 Cr
Nearby :
Commerce Six Road Metro Station
Sardar Patel Stadium
+3

Terrace Skyline, one of the kn"
